id_peli,titulo,genero,rating
3,Angry Silence,Accion,1.500000
16,North Face,Accion,8.300000
18,Chu Chin Chow,Accion,6.500000
20,Boy Meets Boy,Accion,5.900000
26,In the Cut,Accion,5.900000
27,Telefon,Accion,5.500000
30,Sometimes They Come Back,Accion,2.800000
31,Floundering,Accion,7.400000
33,The Snow White Murder Case,Accion,7.500000
34,Yonkers Joe,Accion,10.000000
35,With Love,Accion,4.300000
40,Saturday Night Fever,Accion,2.300000
41,Brute The Bruto,Accion,1.900000
42,Experiment in Terror,Accion,10.000000
44,Summer in Berlin,Accion,8.600000
52,That Touch of Mink,Accion,6.900000
59,1969,Accion,1.200000
61,Wednesday,Accion,4.200000
77,Doubt,Accion,4.600000
85,Quicksilver Highway,Accion,2.600000
96,Way We Laughed,Accion,2.900000
98,Best Defense,Accion,4.600000
100,You Kill Me,Accion,4.100000
