id_peli,titulo,genero,rating
1,Docks of New York,Comedia,7.100000
2,Generals Daughter,Comedia,9.500000
4,Day After Trinity,Comedia,3.500000
12,Romantic Comedy,Comedia,7.700000
16,North Face,Comedia,10.000000
22,Naked in New York,Comedia,10.000000
27,Telefon,Comedia,1.200000
28,The Coven,Comedia,3.900000
30,Sometimes They Come Back,Comedia,10.000000
35,With Love,Comedia,8.200000
38,Battlestar Galactica,Comedia,9.200000
40,Saturday Night Fever,Comedia,7.900000
42,Experiment in Terror,Comedia,5.900000
44,Summer in Berlin,Comedia,7.900000
47,Raiders of the Lost Ark,Comedia,5.200000
48,Taxi 4,Comedia,9.600000
51,Robot Carnival,Comedia,9.900000
52,That Touch of Mink,Comedia,3.900000
53,47 Ronin,Comedia,4.500000
56,Minions,Comedia,2.600000
61,Wednesday,Comedia,5.600000
62,Dawn Rider,Comedia,4.100000
63,Invaders from Mars,Comedia,1.400000
71,Dr. Jack,Comedia,6.300000
73,Deep Rising,Comedia,7.900000
78,Dark Horse,Comedia,9.600000
85,Quicksilver Highway,Comedia,3.100000
88,200 MPH,Comedia,5.700000
92,Silent House,Comedia,5.400000
