id_peli,titulo,genero,rating
7,Who Is John Galt,Drama,4.500000
9,The Man From The Alamo,Drama,2.100000
15,Dragonquest,Drama,8.600000
19,Cannibal Holocaust,Drama,1.800000
20,Boy Meets Boy,Drama,2.700000
25,Kick Ass,Drama,10.000000
33,The Snow White Murder Case,Drama,5.500000
37,Designing Woman,Drama,2.300000
50,Jill the Ripper,Drama,3.100000
51,Robot Carnival,Drama,3.200000
60,Flying Down to Rio,Drama,5.900000
64,Ugly Truth,Drama,8.300000
65,10 000 timmar,Drama,10.000000
85,Quicksilver Highway,Drama,7.300000
87,Je appelle Elisabeth,Drama,4.900000
95,Cloverfield,Drama,5.600000
96,Way We Laughed,Drama,1.800000
99,Jimmy Rosenberg,Drama,4.700000
