id_peli,titulo,genero,rating
2,Generals Daughter,Terror,5.200000
5,Disneyland Dream,Terror,1.600000
11,Musketeer,Terror,8.100000
13,Fall From Grace,Terror,2.200000
25,Kick Ass,Terror,9.700000
28,The Coven,Terror,10.000000
47,Raiders of the Lost Ark,Terror,2.600000
48,Taxi 4,Terror,4.200000
51,Robot Carnival,Terror,6.500000
60,Flying Down to Rio,Terror,2.300000
62,Dawn Rider,Terror,10.000000
63,Invaders from Mars,Terror,5.800000
70,Pirates Who Dont Do Anything,Terror,10.000000
72,5 Deadly Venoms,Terror,1.600000
75,Big Mommas Like Father,Terror,8.600000
76,North to Alaska,Terror,5.300000
79,Kanine,Terror,1.900000
81,Carbon Copy,Terror,6.900000
83,Dodge City,Terror,1.600000
89,Phantom,Terror,7.800000
91,Take Me Out to the Ball Game,Terror,4.600000
92,Silent House,Terror,3.600000
93,Ordinary Decent Criminal,Terror,7.200000
94,Eerie Tales,Terror,6.400000
